"","gene_id","gene_name"
"258","ENSMUSG00000045709","1700023L04Rik"
"259","ENSMUSG00000052334","1700024B05Rik"
"260","ENSMUSG00000099994","1700024B18Rik"
"261","ENSMUSG00000072473","1700024G13Rik"
"262","ENSMUSG00000069890","1700024J04Rik"
"263","ENSMUSG00000045022","1700024P04Rik"
"264","ENSMUSG00000078612","1700024P16Rik"
"265","ENSMUSG00000101113","1700025B11Rik"
"266","ENSMUSG00000078935","1700025C18Rik"
"267","ENSMUSG00000086760","1700025D23Rik"
"268","ENSMUSG00000024728","1700025F22Rik"
"269","ENSMUSG00000100558","1700025F24Rik"
"270","ENSMUSG00000032666","1700025G04Rik"
"271","ENSMUSG00000101888","1700025H01Rik"
"272","ENSMUSG00000099747","1700025K24Rik"
"273","ENSMUSG00000100175","1700025M24Rik"
"274","ENSMUSG00000090200","1700025N21Rik"
"275","ENSMUSG00000100121","1700025N23Rik"
"276","ENSMUSG00000028244","1700025O08Rik"
"277","ENSMUSG00000011154","1700026D08Rik"
"278","ENSMUSG00000086379","1700026D11Rik"
"279","ENSMUSG00000101854","1700026F02Rik"
"280","ENSMUSG00000073976","1700026J12Rik"
"281","ENSMUSG00000097716","1700026J14Rik"
"282","ENSMUSG00000026809","1700026L06Rik"
"283","ENSMUSG00000084864","1700027A07Rik"
"284","ENSMUSG00000101968","1700027A15Rik"
"285","ENSMUSG00000100911","1700027F09Rik"
"286","ENSMUSG00000100799","1700027H10Rik"
"287","ENSMUSG00000098304","1700027I24Rik"
"288","ENSMUSG00000099417","1700028B04Rik"
"289","ENSMUSG00000101683","1700028D13Rik"
"290","ENSMUSG00000097321","1700028E10Rik"
"291","ENSMUSG00000056821","1700028I16Rik"
"292","ENSMUSG00000038782","1700028J19Rik"
"293","ENSMUSG00000089798","1700028K03Rik"
"294","ENSMUSG00000101334","1700028M03Rik"
"295","ENSMUSG00000078635","1700028N14Rik"
"296","ENSMUSG00000033053","1700028P14Rik"
"297","ENSMUSG00000086823","1700028P15Rik"
"298","ENSMUSG00000100759","1700029B22Rik"
"299","ENSMUSG00000100557","1700029E06Rik"
"300","ENSMUSG00000052075","1700029F12Rik"
"301","ENSMUSG00000031452","1700029H14Rik"
"302","ENSMUSG00000044916","1700029I15Rik"
"303","ENSMUSG00000099968","1700029J03Rik"
"304","ENSMUSG00000071103","1700029J07Rik"
"305","ENSMUSG00000101189","1700029M03Rik"
"306","ENSMUSG00000086788","1700029M20Rik"
"307","ENSMUSG00000098144","1700029N11Rik"
"308","ENSMUSG00000061633","1700029P11Rik"
"309","ENSMUSG00000085333","1700030A11Rik"
"310","ENSMUSG00000091071","1700030C10Rik"
"311","ENSMUSG00000086459","1700030C12Rik"
"312","ENSMUSG00000087148","1700030C14Rik"
"313","ENSMUSG00000099869","1700030F04Rik"
"314","ENSMUSG00000031847","1700030J22Rik"
"315","ENSMUSG00000052794","1700030K09Rik"
"316","ENSMUSG00000099508","1700030L20Rik"
"317","ENSMUSG00000097424","1700030M09Rik"
"318","ENSMUSG00000100969","1700030N03Rik"
"319","ENSMUSG00000100198","1700030O20Rik"
"320","ENSMUSG00000092239","1700031A10Rik"
"321","ENSMUSG00000032894","1700031F05Rik"
"322","ENSMUSG00000047046","1700031F10Rik"
"323","ENSMUSG00000099863","1700031L13Rik"
"324","ENSMUSG00000099353","1700031M16Rik"
"325","ENSMUSG00000100315","1700031P21Rik"
"326","ENSMUSG00000097302","1700034B16Rik"
"327","ENSMUSG00000024532","1700034E13Rik"
"328","ENSMUSG00000097962","1700034G24Rik"
"329","ENSMUSG00000055833","1700034H15Rik"
"330","ENSMUSG00000074619","1700034I23Rik"
"331","ENSMUSG00000040163","1700034J05Rik"
"332","ENSMUSG00000100294","1700034K08Rik"
"333","ENSMUSG00000029867","1700034O15Rik"
"334","ENSMUSG00000097893","1700034P13Rik"
"335","ENSMUSG00000095956","1700036A12Rik"
"336","ENSMUSG00000099995","1700036G14Rik"
"337","ENSMUSG00000086185","1700036O09Rik"
"338","ENSMUSG00000085542","1700037C06Rik"
"339","ENSMUSG00000005983","1700037C18Rik"
"340","ENSMUSG00000097540","1700037F24Rik"
"341","ENSMUSG00000027327","1700037H04Rik"
"342","ENSMUSG00000070568","1700039E15Rik"
"343","ENSMUSG00000092369","1700039E22Rik"
"344","ENSMUSG00000097933","1700039M10Rik"
"345","ENSMUSG00000097515","1700040D17Rik"
"346","ENSMUSG00000101568","1700040F17Rik"
"347","ENSMUSG00000019945","1700040L02Rik"
"348","ENSMUSG00000100282","1700041C23Rik"
"349","ENSMUSG00000054822","1700041G16Rik"
